一艘船	yì sōu chuán
一茅三脊	yī máo sān jǐ
一莞	yī wǎn
一见了然	yī jiàn liǎo rán
一览无余	yī lǎi wú yú
一览无遗	yī lǎi wú yí
一觉	yī jiào
一觉地	yī jiào de
一言中的	yī yán zhōng dì
一言为定	yī yán wéi dìng
一言兴邦	yī yán xīng bāng
一言难尽	yī yán nán jìn
一语中的	yī yǔ zhōng dì
一语撞倒墙	yī yǔ zhuàng dǎo qiáng
一语破的	yī yǔ pò dì
一败涂地	yī bài tú dì
一贯地	yí guàn de
一贯性	yí guàn xìng
一走了之	yī zǒu liǎo zhī
一起	yì qǐ
一起头	yì qǐ tóu
一起子	yì qǐ zǐ
一路	yí lù
一路人	yí lù rén
一路哭	yí lù kū
一路来	yí lù lái
一路货	yí lù huò
一踏脚儿	yī tà jué ér
一蹦子	yī bèng zǐ
一蹶不兴	yī juě bù xīng
一车骨头半车肉	yī chē gú tou bàn chē ròu
一边倒	yī biān dǎo
一边好奇地	yī biān hào qí de
一还一报	yī huán yī bào
一连气儿	yī lián qì er
一迹	yī jì
一退六二五	yī tuī liù èr wǔ
一递一个	yī dì yí gè
一通	yī tòng
一通儿	yī tòng ér
一通连	yī tòng lián
一造子	yī zào zǐ
一逢掖	yī féng yè
一邱之貉	yī qiū zhī hé
一部分地	yī bù fèn de
一重一掩	yī chóng yī yǎn
一针一缐	yī zhēn yī yú
一针见血	yī zhēn jiàn xiě
一钱不落虚空地	yī qián bù luò xū kōng dì
一长	yī cháng
一长一短	yī cháng yī duǎn
一长两短	yī cháng liǎng duǎn
一长串	yī cháng chuàn
一长二短	yī cháng èr duǎn
一长半短	yī cháng bàn duǎn
一长溜	yī cháng liū
一门子	yī mén zǐ
一问一个肯	yī wèn yí gè kěn
一隅之地	yī yú zhī dì
一面倒	yí miàn dǎo
一鞭先着	yī biān xiān zhāo
一鞭先著	yī biān xiān zhuó
一饭之顷	yī fàn zhī qīng
一驮	yī duò
一驮粮	yí duò liáng
一骨碌	yī gū lù
